,dates,close,close_orig
6413,2022-08-01,1804.632,1817.8
6414,2022-08-02,1801.3239,1807.12
6415,2022-08-03,1798.3594,1808.94
6417,2022-08-04,1797.5791,1764.58
6418,2022-08-05,1791.997,1739.08
6419,2022-08-08,1786.2167,1740.09
6420,2022-08-09,1775.5864,1742.45
6421,2022-08-10,1761.3546,1734.02
6422,2022-08-11,1744.4475,1726.09
6423,2022-08-12,1726.6857,1735.56
6424,2022-08-15,1720.7638,1709.72
6425,2022-08-16,1718.9822,1707.32
6426,2022-08-17,1714.4033,1708.99
6427,2022-08-18,1709.59,1711.56
6428,2022-08-19,1705.201,1696.53
6429,2022-08-22,1698.2635,1718.22
6430,2022-08-23,1693.1978,1727.38
6431,2022-08-24,1693.8751,1719.64
6432,2022-08-25,1693.6528,1717.2
6433,2022-08-26,1693.5217,1734.33
6434,2022-08-29,1699.0237,1755.83
6435,2022-08-30,1707.1769,1766.0
