,dates,close,close_orig
6413,2022-08-01,1806.514,1817.8
6414,2022-08-02,1804.5276,1807.12
6415,2022-08-03,1794.4176,1808.94
6417,2022-08-04,1794.7999,1764.58
6418,2022-08-05,1752.6809,1739.08
6419,2022-08-08,1728.3778,1740.09
6420,2022-08-09,1729.3418,1742.45
6421,2022-08-10,1731.5935,1734.02
6422,2022-08-11,1723.5476,1726.09
6423,2022-08-12,1715.9728,1735.56
6424,2022-08-15,1725.0181,1709.72
6425,2022-08-16,1700.3162,1707.32
6426,2022-08-17,1698.0186,1708.99
6427,2022-08-18,1699.6174,1711.56
6428,2022-08-19,1702.0774,1696.53
6429,2022-08-22,1687.6823,1718.22
6430,2022-08-23,1708.4491,1727.38
6431,2022-08-24,1717.2053,1719.64
6432,2022-08-25,1709.807,1717.2
6433,2022-08-26,1707.4734,1734.33
6434,2022-08-29,1723.8436,1755.83
6435,2022-08-30,1744.6519,1766.0
